name;articles
Феморальная головка примерочная;1206-2032-RB, 1206-2132-RB, 1206-2232-RB, 1206-2432-RB, 1206-2632-RB, 1206-2832-RB
Чаша ацетабулярная примерочная;1306-2048, 1306-2050, 1306-2052, 1306-2054, 1306-2056, 1306-2058, 1306-2060, 1306-2062
Феморальный компонент примерочный;2103-2120, 2103-2130, 2103-2140, 2103-2150, 2103-2160, 2103-2170, 2103-2220, 2103-2230, 2103-2240, 2103-2250, 2103-2260, 2103-2270
Тибиальный компонент примерочный;2203-4020-RB, 2203-4030-RB, 2203-4040-RB, 2203-4050-RB, 2203-4060-RB
Вкладыш тибиальный примерочный;2303-2421-RF, 2303-2422-RF, 2303-2423-RF, 2303-2424-RF, 2303-2425-RF, 2303-2431-RF, 2303-2432-RF, 2303-2433-RF, 2303-2434-RF, 2303-2435-RF, 2303-2441-RF, 2303-2442-RF, 2303-2443-RF, 2303-2444-RF, 2303-2445-RF, 2303-2451-RF, 2303-2452-RF, 2303-2453-RF, 2303-2454-RF, 2303-2455-RF, 2303-2461-RF, 2303-2462-RF, 2303-2463-RF, 2303-2464-RF, 2303-2465-RF
Импактор;9106-1106-RC, 9204-1222-RB, 9206-1103-RG, 9206-5032, 9303-5103-RB, 9303-5119-RD, 9403-5102-RF
Экстрактор;9106-5302, 9303-5002, 9303-5101, 9304-5108-RT, 9403-5104, 9116-3001-RB
Рукоятка;9301-1100, 9206-1110, 9206-1112, 9403-1101-RC, 9116-1102
Держатель;9106-1101-RC, 9106-1301-RC, 9203-1201-RA, 9404-1102, 9404-1103
Направитель;9303-2103-RC, 9304-2002-RB, 9304-2003-RB, 9304-2004-RB, 9304-2005-RB, 9304-2006-RB, 9304-2007-RB, 9303-2102-RA, 9403-5106, 9303-2111-RA, 9403-2103-RA, 9403-2104-RA, 9403-2105-RF
Молоток;9106-5001
Остеотом;9106-4001-RA
Зажим;9106-5003
Стержень скользящего молотка;9106-5101
Шейка примерочная;9106-5311, 9106-5312, 9106-5313, 9106-5314, 9106-5321, 9106-5322, 9106-5323, 9106-5324
Рашпиль;9106-6301-RA, 9106-6302-RA, 9106-6303-RA, 9106-6304-RA, 9106-6305-RA, 9106-6306-RA, 9106-6307-RA, 9106-6308-RA, 9106-6309-RA, 9106-6310-RA, 9106-6311-RA, 9106-6312-RA, 9106-6313-RA, 9106-6314-RA
Стержень направителя оси;9403-2202
Сверло;9304-3001-RA, 9303-3203, 9303-3204, 9303-3206, 9403-3001
Измеритель;9304-7101, 9401-7012, 9403-7009, 9403-7011, 9403-7013, 9403-7015, 9403-7018, 9403-7009-RL
Фреза ацетабулярная;9203-4047, 9203-4048, 9203-4049, 9203-4050, 9203-4051, 9203-4052, 9203-4053, 9203-4054, 9203-4055, 9203-4056, 9203-4057, 9203-4058, 9203-4059, 9203-4060, 9203-4061, 9203-4062
Стержень;9401-2203
Отвертка;9304-1102
Стартер;9301-2101-RB
Лезвие проверки опила;9304-7000
Пин;9304-3003, 9304-3004, 9301-3217
Штифт;9301-6202
Пробойник;9403-6010, 9403-6020, 9403-6030
Спейсер;9403-2120-RE, 9403-2220-RE, 9403-2125-RE, 9403-2225-RE
Переходник пинов;9304-5105
Стилус;9304-7102, 9403-7101-RA
Ограничитель глубины;9403-2202-3-RD
Ример;9106-3072, 9303-8010, 9303-8030-RA, 9106-8701, 9206-8110, 9206-8130.