Emoji;Python;Elasticsearch;Java;C#_with_surrogate;C#_without_surrogate
🙋🏽‍♀;4;6;6;6;4
🙋🏾‍♀️;5;7;7;7;5
🙋🏾‍♀;4;6;6;6;4
🙋🏿‍♀️;5;7;7;7;5
🙋🏿‍♀;4;6;6;6;4
🧏;1;2;2;2;1
🧏🏻;2;4;4;4;2
🧏🏼;2;4;4;4;2
🧏🏽;2;4;4;4;2
🧏🏾;2;4;4;4;2
🧏🏿;2;4;4;4;2
🧏‍♂️;4;5;5;5;4
🧏‍♂;3;4;4;4;3
🧏🏻‍♂️;5;7;7;7;5
🧏🏻‍♂;4;6;6;6;4
🧏🏼‍♂️;5;7;7;7;5
🧏🏼‍♂;4;6;6;6;4
🧏🏽‍♂️;5;7;7;7;5
🧏🏽‍♂;4;6;6;6;4
🧏🏾‍♂️;5;7;7;7;5
🧏🏾‍♂;4;6;6;6;4
🧏🏿‍♂️;5;7;7;7;5
🧏🏿‍♂;4;6;6;6;4
🧏‍♀️;4;5;5;5;4
🧏‍♀;3;4;4;4;3
🧏🏻‍♀️;5;7;7;7;5
🧏🏻‍♀;4;6;6;6;4
🧏🏼‍♀️;5;7;7;7;5
🧏🏼‍♀;4;6;6;6;4
🧏🏽‍♀️;5;7;7;7;5
🧏🏽‍♀;4;6;6;6;4
🧏🏾‍♀️;5;7;7;7;5
🧏🏾‍♀;4;6;6;6;4
🧏🏿‍♀️;5;7;7;7;5
🧏🏿‍♀;4;6;6;6;4
🙇‍♂️;4;5;5;5;4
🙇‍♂;3;4;4;4;3
🙇🏻‍♂️;5;7;7;7;5
🙇🏻‍♂;4;6;6;6;4
🙇🏼‍♂️;5;7;7;7;5
🙇🏼‍♂;4;6;6;6;4
🙇🏽‍♂️;5;7;7;7;5
🙇🏽‍♂;4;6;6;6;4
🙇🏾‍♂️;5;7;7;7;5
🙇🏾‍♂;4;6;6;6;4
🙇🏿‍♂️;5;7;7;7;5
🙇🏿‍♂;4;6;6;6;4
🙇‍♀️;4;5;5;5;4
🙇🏻‍♀️;5;7;7;7;5
🙇🏼‍♀️;5;7;7;7;5
🙇🏽‍♀️;5;7;7;7;5
🙇🏾‍♀️;5;7;7;7;5
🙇🏿‍♀️;5;7;7;7;5
🤦;1;2;2;2;1
🤦🏻;2;4;4;4;2
🤦🏼;2;4;4;4;2
🤦🏽;2;4;4;4;2
🤦🏾;2;4;4;4;2
🤦🏿;2;4;4;4;2
🤦‍♂️;4;5;5;5;4
🤦‍♂;3;4;4;4;3
🤦🏻‍♂️;5;7;7;7;5
🤦🏻‍♂;4;6;6;6;4
🤦🏼‍♂️;5;7;7;7;5
🤦🏼‍♂;4;6;6;6;4
🤦🏽‍♂️;5;7;7;7;5
🤦🏽‍♂;4;6;6;6;4
🤦🏾‍♂️;5;7;7;7;5
🤦🏾‍♂;4;6;6;6;4
🤦🏿‍♂️;5;7;7;7;5
🤦🏿‍♂;4;6;6;6;4
🤦‍♀️;4;5;5;5;4
🤦‍♀;3;4;4;4;3
🤦🏻‍♀️;5;7;7;7;5
🤦🏻‍♀;4;6;6;6;4
🤦🏼‍♀️;5;7;7;7;5
🤦🏼‍♀;4;6;6;6;4
🤦🏽‍♀️;5;7;7;7;5
🤦🏽‍♀;4;6;6;6;4
🤦🏾‍♀️;5;7;7;7;5
🤦🏾‍♀;4;6;6;6;4
🤦🏿‍♀️;5;7;7;7;5
🤦🏿‍♀;4;6;6;6;4
🤷;1;2;2;2;1
🤷🏻;2;4;4;4;2
🤷🏼;2;4;4;4;2
🤷🏽;2;4;4;4;2
🤷🏾;2;4;4;4;2
🤷🏿;2;4;4;4;2
🤷‍♂️;4;5;5;5;4
🤷‍♂;3;4;4;4;3
🤷🏻‍♂️;5;7;7;7;5
🤷🏻‍♂;4;6;6;6;4
🤷🏼‍♂️;5;7;7;7;5
🤷🏼‍♂;4;6;6;6;4
🤷🏽‍♂️;5;7;7;7;5
🤷🏽‍♂;4;6;6;6;4
🤷🏾‍♂️;5;7;7;7;5
🤷🏾‍♂;4;6;6;6;4
🤷🏿‍♂️;5;7;7;7;5
🤷🏿‍♂;4;6;6;6;4
🤷‍♀️;4;5;5;5;4
🤷‍♀;3;4;4;4;3
🤷🏻‍♀️;5;7;7;7;5
🤷🏻‍♀;4;6;6;6;4
🤷🏼‍♀️;5;7;7;7;5
🤷🏼‍♀;4;6;6;6;4
🤷🏽‍♀️;5;7;7;7;5
🤷🏽‍♀;4;6;6;6;4
🤷🏾‍♀️;5;7;7;7;5
🤷🏾‍♀;4;6;6;6;4
🤷🏿‍♀️;5;7;7;7;5
🤷🏿‍♀;4;6;6;6;4
🧑‍⚕️;4;5;5;5;4
🧑‍⚕;3;4;4;4;3
🧑🏻‍⚕️;5;7;7;7;5
🧑🏻‍⚕;4;6;6;6;4
🧑🏼‍⚕️;5;7;7;7;5
🧑🏼‍⚕;4;6;6;6;4
🧑🏽‍⚕️;5;7;7;7;5
🧑🏽‍⚕;4;6;6;6;4
🧑🏾‍⚕️;5;7;7;7;5
🧑🏾‍⚕;4;6;6;6;4
🧑🏿‍⚕️;5;7;7;7;5
🧑🏿‍⚕;4;6;6;6;4
👨‍⚕️;4;5;5;5;4
👨‍⚕;3;4;4;4;3
👨🏻‍⚕️;5;7;7;7;5
👨🏻‍⚕;4;6;6;6;4
👨🏼‍⚕️;5;7;7;7;5
👨🏼‍⚕;4;6;6;6;4
👨🏽‍⚕️;5;7;7;7;5
👨🏽‍⚕;4;6;6;6;4
👨🏾‍⚕️;5;7;7;7;5
👨🏾‍⚕;4;6;6;6;4
👨🏿‍⚕️;5;7;7;7;5
👨🏿‍⚕;4;6;6;6;4
👩‍⚕️;4;5;5;5;4
👩‍⚕;3;4;4;4;3
👩🏻‍⚕️;5;7;7;7;5
👩🏻‍⚕;4;6;6;6;4
👩🏼‍⚕️;5;7;7;7;5
👩🏼‍⚕;4;6;6;6;4
👩🏽‍⚕️;5;7;7;7;5
👩🏽‍⚕;4;6;6;6;4
👩🏾‍⚕️;5;7;7;7;5
👩🏾‍⚕;4;6;6;6;4
👩🏿‍⚕️;5;7;7;7;5
👩🏿‍⚕;4;6;6;6;4
🧑‍🎓;3;5;5;5;3
🧑🏻‍🎓;4;7;7;7;4
🧑🏼‍🎓;4;7;7;7;4
🧑🏽‍🎓;4;7;7;7;4
🧑🏾‍🎓;4;7;7;7;4
🧑🏿‍🎓;4;7;7;7;4
👨‍🎓;3;5;5;5;3
👨🏻‍🎓;4;7;7;7;4
👨🏼‍🎓;4;7;7;7;4
👨🏽‍🎓;4;7;7;7;4
👨🏾‍🎓;4;7;7;7;4
👨🏿‍🎓;4;7;7;7;4
👩‍🎓;3;5;5;5;3
👩🏻‍🎓;4;7;7;7;4
👩🏼‍🎓;4;7;7;7;4
👩🏽‍🎓;4;7;7;7;4
👩🏾‍🎓;4;7;7;7;4
👩🏿‍🎓;4;7;7;7;4
🧑‍🏫;3;5;5;5;3
🧑🏻‍🏫;4;7;7;7;4
🧑🏼‍🏫;4;7;7;7;4
🧑🏽‍🏫;4;7;7;7;4
🧑🏾‍🏫;4;7;7;7;4
🧑🏿‍🏫;4;7;7;7;4
👨‍🏫;3;5;5;5;3
👨🏻‍🏫;4;7;7;7;4
👨🏼‍🏫;4;7;7;7;4
👨🏽‍🏫;4;7;7;7;4
👨🏾‍🏫;4;7;7;7;4
👨🏿‍🏫;4;7;7;7;4
👩‍🏫;3;5;5;5;3
👩🏻‍🏫;4;7;7;7;4
👩🏼‍🏫;4;7;7;7;4
👩🏽‍🏫;4;7;7;7;4
👩🏾‍🏫;4;7;7;7;4
👩🏿‍🏫;4;7;7;7;4
🧑‍⚖️;4;5;5;5;4
🧑‍⚖;3;4;4;4;3
🧑🏻‍⚖️;5;7;7;7;5
🧑🏻‍⚖;4;6;6;6;4
🧑🏼‍⚖️;5;7;7;7;5
🧑🏼‍⚖;4;6;6;6;4
🧑🏽‍⚖️;5;7;7;7;5
🧑🏽‍⚖;4;6;6;6;4
🧑🏾‍⚖️;5;7;7;7;5
🧑🏾‍⚖;4;6;6;6;4
🧑🏿‍⚖️;5;7;7;7;5
🧑🏿‍⚖;4;6;6;6;4
👨‍⚖️;4;5;5;5;4
👨‍⚖;3;4;4;4;3
👨🏻‍⚖️;5;7;7;7;5
👨🏻‍⚖;4;6;6;6;4
👨🏼‍⚖️;5;7;7;7;5
👨🏼‍⚖;4;6;6;6;4
👨🏽‍⚖️;5;7;7;7;5
👨🏽‍⚖;4;6;6;6;4
👨🏾‍⚖️;5;7;7;7;5
👨🏾‍⚖;4;6;6;6;4
👨🏿‍⚖️;5;7;7;7;5
👨🏿‍⚖;4;6;6;6;4
👩‍⚖️;4;5;5;5;4
👩‍⚖;3;4;4;4;3
👩🏻‍⚖️;5;7;7;7;5
👩🏻‍⚖;4;6;6;6;4
👩🏼‍⚖️;5;7;7;7;5
👩🏼‍⚖;4;6;6;6;4
👩🏽‍⚖️;5;7;7;7;5
👩🏽‍⚖;4;6;6;6;4
👩🏾‍⚖️;5;7;7;7;5
👩🏾‍⚖;4;6;6;6;4
👩🏿‍⚖️;5;7;7;7;5
👩🏿‍⚖;4;6;6;6;4
🧑‍🌾;3;5;5;5;3
🧑🏻‍🌾;4;7;7;7;4
🧑🏼‍🌾;4;7;7;7;4
🧑🏽‍🌾;4;7;7;7;4
🧑🏾‍🌾;4;7;7;7;4
🧑🏿‍🌾;4;7;7;7;4
👨‍🌾;3;5;5;5;3
👨🏻‍🌾;4;7;7;7;4
👨🏼‍🌾;4;7;7;7;4
👨🏽‍🌾;4;7;7;7;4
👨🏾‍🌾;4;7;7;7;4
👨🏿‍🌾;4;7;7;7;4
👩‍🌾;3;5;5;5;3
👩🏻‍🌾;4;7;7;7;4
👩🏼‍🌾;4;7;7;7;4
👩🏽‍🌾;4;7;7;7;4
👩🏾‍🌾;4;7;7;7;4
👩🏿‍🌾;4;7;7;7;4
🧑‍🍳;3;5;5;5;3
🧑🏻‍🍳;4;7;7;7;4
🧑🏼‍🍳;4;7;7;7;4
🧑🏽‍🍳;4;7;7;7;4
🧑🏾‍🍳;4;7;7;7;4
🧑🏿‍🍳;4;7;7;7;4
👨‍🍳;3;5;5;5;3
👨🏻‍🍳;4;7;7;7;4
👨🏼‍🍳;4;7;7;7;4
👨🏽‍🍳;4;7;7;7;4
👨🏾‍🍳;4;7;7;7;4
👨🏿‍🍳;4;7;7;7;4
👩‍🍳;3;5;5;5;3
👩🏻‍🍳;4;7;7;7;4
👩🏼‍🍳;4;7;7;7;4
👩🏽‍🍳;4;7;7;7;4
👩🏾‍🍳;4;7;7;7;4
👩🏿‍🍳;4;7;7;7;4
🧑‍🔧;3;5;5;5;3
🧑🏻‍🔧;4;7;7;7;4
🧑🏼‍🔧;4;7;7;7;4
🧑🏽‍🔧;4;7;7;7;4
🧑🏾‍🔧;4;7;7;7;4
🧑🏿‍🔧;4;7;7;7;4
👨‍🔧;3;5;5;5;3
👨🏻‍🔧;4;7;7;7;4
👨🏼‍🔧;4;7;7;7;4
👨🏽‍🔧;4;7;7;7;4
👨🏾‍🔧;4;7;7;7;4
👨🏿‍🔧;4;7;7;7;4
👩‍🔧;3;5;5;5;3
👩🏻‍🔧;4;7;7;7;4
👩🏼‍🔧;4;7;7;7;4
👩🏽‍🔧;4;7;7;7;4
👩🏾‍🔧;4;7;7;7;4
👩🏿‍🔧;4;7;7;7;4
🧑‍🏭;3;5;5;5;3
🧑🏻‍🏭;4;7;7;7;4
🧑🏼‍🏭;4;7;7;7;4
🧑🏽‍🏭;4;7;7;7;4
🧑🏾‍🏭;4;7;7;7;4
🧑🏿‍🏭;4;7;7;7;4
👨‍🏭;3;5;5;5;3
👨🏻‍🏭;4;7;7;7;4
👨🏼‍🏭;4;7;7;7;4
👨🏽‍🏭;4;7;7;7;4
👨🏾‍🏭;4;7;7;7;4
👨🏿‍🏭;4;7;7;7;4
👩‍🏭;3;5;5;5;3
👩🏻‍🏭;4;7;7;7;4
👩🏼‍🏭;4;7;7;7;4
👩🏽‍🏭;4;7;7;7;4
👩🏾‍🏭;4;7;7;7;4
👩🏿‍🏭;4;7;7;7;4
🧑‍💼;3;5;5;5;3
🧑🏻‍💼;4;7;7;7;4
🧑🏼‍💼;4;7;7;7;4
🧑🏽‍💼;4;7;7;7;4
🧑🏾‍💼;4;7;7;7;4
🧑🏿‍💼;4;7;7;7;4
👨‍💼;3;5;5;5;3
👨🏻‍💼;4;7;7;7;4
👨🏼‍💼;4;7;7;7;4
👨🏽‍💼;4;7;7;7;4
👨🏾‍💼;4;7;7;7;4
👨🏿‍💼;4;7;7;7;4
👩‍💼;3;5;5;5;3
👩🏻‍💼;4;7;7;7;4
👩🏼‍💼;4;7;7;7;4
👩🏽‍💼;4;7;7;7;4
👩🏾‍💼;4;7;7;7;4
👩🏿‍💼;4;7;7;7;4
🧑‍🔬;3;5;5;5;3
🧑🏻‍🔬;4;7;7;7;4
🧑🏼‍🔬;4;7;7;7;4
🧑🏽‍🔬;4;7;7;7;4
🧑🏾‍🔬;4;7;7;7;4
🧑🏿‍🔬;4;7;7;7;4
👨‍🔬;3;5;5;5;3
👨🏻‍🔬;4;7;7;7;4
👨🏼‍🔬;4;7;7;7;4
👨🏽‍🔬;4;7;7;7;4
👨🏾‍🔬;4;7;7;7;4
👨🏿‍🔬;4;7;7;7;4
👩‍🔬;3;5;5;5;3
👩🏻‍🔬;4;7;7;7;4
👩🏼‍🔬;4;7;7;7;4
👩🏽‍🔬;4;7;7;7;4
👩🏾‍🔬;4;7;7;7;4
👩🏿‍🔬;4;7;7;7;4
🧑‍💻;3;5;5;5;3
🧑🏻‍💻;4;7;7;7;4
🧑🏼‍💻;4;7;7;7;4
🧑🏽‍💻;4;7;7;7;4
🧑🏾‍💻;4;7;7;7;4
🧑🏿‍💻;4;7;7;7;4
👨‍💻;3;5;5;5;3
👨🏻‍💻;4;7;7;7;4
👨🏼‍💻;4;7;7;7;4
👨🏽‍💻;4;7;7;7;4
👨🏾‍💻;4;7;7;7;4
👨🏿‍💻;4;7;7;7;4
👩‍💻;3;5;5;5;3
👩🏻‍💻;4;7;7;7;4
👩🏼‍💻;4;7;7;7;4
👩🏽‍💻;4;7;7;7;4
👩🏾‍💻;4;7;7;7;4
👩🏿‍💻;4;7;7;7;4
🧑‍🎤;3;5;5;5;3
🧑🏻‍🎤;4;7;7;7;4
🧑🏼‍🎤;4;7;7;7;4
🧑🏽‍🎤;4;7;7;7;4
🧑🏾‍🎤;4;7;7;7;4
🧑🏿‍🎤;4;7;7;7;4
👨‍🎤;3;5;5;5;3
👨🏻‍🎤;4;7;7;7;4
👨🏼‍🎤;4;7;7;7;4
👨🏽‍🎤;4;7;7;7;4
👨🏾‍🎤;4;7;7;7;4
👨🏿‍🎤;4;7;7;7;4
👩‍🎤;3;5;5;5;3
👩🏻‍🎤;4;7;7;7;4
👩🏼‍🎤;4;7;7;7;4
👩🏽‍🎤;4;7;7;7;4
👩🏾‍🎤;4;7;7;7;4
👩🏿‍🎤;4;7;7;7;4
🧑‍🎨;3;5;5;5;3
🧑🏻‍🎨;4;7;7;7;4
🧑🏼‍🎨;4;7;7;7;4
🧑🏽‍🎨;4;7;7;7;4
🧑🏾‍🎨;4;7;7;7;4
🧑🏿‍🎨;4;7;7;7;4
👨‍🎨;3;5;5;5;3
👨🏻‍🎨;4;7;7;7;4
👨🏼‍🎨;4;7;7;7;4
👨🏽‍🎨;4;7;7;7;4
👨🏾‍🎨;4;7;7;7;4
👨🏿‍🎨;4;7;7;7;4
👩‍🎨;3;5;5;5;3
👩🏻‍🎨;4;7;7;7;4
👩🏼‍🎨;4;7;7;7;4
👩🏽‍🎨;4;7;7;7;4
👩🏾‍🎨;4;7;7;7;4
👩🏿‍🎨;4;7;7;7;4
🧑‍✈️;4;5;5;5;4
🧑‍✈;3;4;4;4;3
🧑🏻‍✈️;5;7;7;7;5
🧑🏻‍✈;4;6;6;6;4
🧑🏼‍✈️;5;7;7;7;5
🧑🏼‍✈;4;6;6;6;4
🧑🏽‍✈️;5;7;7;7;5
🧑🏽‍✈;4;6;6;6;4
🧑🏾‍✈️;5;7;7;7;5
🧑🏾‍✈;4;6;6;6;4
🧑🏿‍✈️;5;7;7;7;5
🧑🏿‍✈;4;6;6;6;4
👨‍✈️;4;5;5;5;4
👨‍✈;3;4;4;4;3
👨🏻‍✈️;5;7;7;7;5
👨🏻‍✈;4;6;6;6;4
👨🏼‍✈️;5;7;7;7;5
👨🏼‍✈;4;6;6;6;4
👨🏽‍✈️;5;7;7;7;5
👨🏽‍✈;4;6;6;6;4
👨🏾‍✈️;5;7;7;7;5
👨🏾‍✈;4;6;6;6;4
👨🏿‍✈️;5;7;7;7;5
👨🏿‍✈;4;6;6;6;4
👩‍✈️;4;5;5;5;4
👩‍✈;3;4;4;4;3
👩🏻‍✈️;5;7;7;7;5
👩🏻‍✈;4;6;6;6;4
👩🏼‍✈️;5;7;7;7;5
👩🏼‍✈;4;6;6;6;4
👩🏽‍✈️;5;7;7;7;5
👩🏽‍✈;4;6;6;6;4
👩🏾‍✈️;5;7;7;7;5
👩🏾‍✈;4;6;6;6;4
👩🏿‍✈️;5;7;7;7;5
👩🏿‍✈;4;6;6;6;4
🧑‍🚀;3;5;5;5;3
🧑🏻‍🚀;4;7;7;7;4
🧑🏼‍🚀;4;7;7;7;4
🧑🏽‍🚀;4;7;7;7;4
🧑🏾‍🚀;4;7;7;7;4
🧑🏿‍🚀;4;7;7;7;4
👨‍🚀;3;5;5;5;3
👨🏻‍🚀;4;7;7;7;4
👨🏼‍🚀;4;7;7;7;4
👨🏽‍🚀;4;7;7;7;4
👨🏾‍🚀;4;7;7;7;4
👨🏿‍🚀;4;7;7;7;4
👩‍🚀;3;5;5;5;3
👩🏻‍🚀;4;7;7;7;4
👩🏼‍🚀;4;7;7;7;4
👩🏽‍🚀;4;7;7;7;4
👩🏾‍🚀;4;7;7;7;4
👩🏿‍🚀;4;7;7;7;4
🧑‍🚒;3;5;5;5;3
🧑🏻‍🚒;4;7;7;7;4
🧑🏼‍🚒;4;7;7;7;4
🧑🏽‍🚒;4;7;7;7;4
🧑🏾‍🚒;4;7;7;7;4
🧑🏿‍🚒;4;7;7;7;4
👨‍🚒;3;5;5;5;3
👨🏻‍🚒;4;7;7;7;4
👨🏼‍🚒;4;7;7;7;4
👨🏽‍🚒;4;7;7;7;4
👨🏾‍🚒;4;7;7;7;4
👨🏿‍🚒;4;7;7;7;4
👩‍🚒;3;5;5;5;3
👩🏻‍🚒;4;7;7;7;4
👩🏼‍🚒;4;7;7;7;4
👩🏽‍🚒;4;7;7;7;4
👩🏾‍🚒;4;7;7;7;4
👩🏿‍🚒;4;7;7;7;4
👮‍♂️;4;5;5;5;4
👮‍♂;3;4;4;4;3
👮🏻‍♂️;5;7;7;7;5
👮🏻‍♂;4;6;6;6;4
👮🏼‍♂️;5;7;7;7;5
👮🏼‍♂;4;6;6;6;4
👮🏽‍♂️;5;7;7;7;5
👮🏽‍♂;4;6;6;6;4
👮🏾‍♂️;5;7;7;7;5
👮🏾‍♂;4;6;6;6;4
👮🏿‍♂️;5;7;7;7;5
👮🏿‍♂;4;6;6;6;4
👮‍♀️;4;5;5;5;4
👮🏻‍♀️;5;7;7;7;5
👮🏼‍♀️;5;7;7;7;5
👮🏽‍♀️;5;7;7;7;5
👮🏾‍♀️;5;7;7;7;5
👮🏿‍♀️;5;7;7;7;5
🕵️;2;3;3;3;2
🕵️‍♂️;5;6;6;6;5
🕵‍♂️;4;5;5;5;4
🕵️‍♂;4;5;5;5;4
🕵‍♂;3;4;4;4;3
🕵🏻‍♂️;5;7;7;7;5
🕵🏻‍♂;4;6;6;6;4
🕵🏼‍♂️;5;7;7;7;5
🕵🏼‍♂;4;6;6;6;4
🕵🏽‍♂️;5;7;7;7;5
🕵🏽‍♂;4;6;6;6;4
🕵🏾‍♂️;5;7;7;7;5
🕵🏾‍♂;4;6;6;6;4
🕵🏿‍♂️;5;7;7;7;5
🕵🏿‍♂;4;6;6;6;4
🕵️‍♀️;5;6;6;6;5
🕵‍♀️;4;5;5;5;4
🕵️‍♀;4;5;5;5;4
🕵🏻‍♀️;5;7;7;7;5
🕵🏼‍♀️;5;7;7;7;5
🕵🏽‍♀️;5;7;7;7;5
🕵🏾‍♀️;5;7;7;7;5
🕵🏿‍♀️;5;7;7;7;5
💂‍♂️;4;5;5;5;4
💂‍♂;3;4;4;4;3
💂🏻‍♂️;5;7;7;7;5
💂🏻‍♂;4;6;6;6;4
💂🏼‍♂️;5;7;7;7;5
💂🏼‍♂;4;6;6;6;4
💂🏽‍♂️;5;7;7;7;5
💂🏽‍♂;4;6;6;6;4
💂🏾‍♂️;5;7;7;7;5
💂🏾‍♂;4;6;6;6;4
💂🏿‍♂️;5;7;7;7;5
💂🏿‍♂;4;6;6;6;4
💂‍♀️;4;5;5;5;4
💂🏻‍♀️;5;7;7;7;5
💂🏼‍♀️;5;7;7;7;5
💂🏽‍♀️;5;7;7;7;5
💂🏾‍♀️;5;7;7;7;5
💂🏿‍♀️;5;7;7;7;5
👷‍♂️;4;5;5;5;4
👷‍♂;3;4;4;4;3
👷🏻‍♂️;5;7;7;7;5
👷🏻‍♂;4;6;6;6;4
👷🏼‍♂️;5;7;7;7;5
👷🏼‍♂;4;6;6;6;4
👷🏽‍♂️;5;7;7;7;5
👷🏽‍♂;4;6;6;6;4
👷🏾‍♂️;5;7;7;7;5
👷🏾‍♂;4;6;6;6;4
👷🏿‍♂️;5;7;7;7;5
👷🏿‍♂;4;6;6;6;4
👷‍♀️;4;5;5;5;4
👷🏻‍♀️;5;7;7;7;5
👷🏼‍♀️;5;7;7;7;5
👷🏽‍♀️;5;7;7;7;5
👷🏾‍♀️;5;7;7;7;5
👷🏿‍♀️;5;7;7;7;5
🤴;1;2;2;2;1
🤴🏻;2;4;4;4;2
🤴🏼;2;4;4;4;2
🤴🏽;2;4;4;4;2
🤴🏾;2;4;4;4;2
🤴🏿;2;4;4;4;2
👳‍♂️;4;5;5;5;4
👳‍♂;3;4;4;4;3
👳🏻‍♂️;5;7;7;7;5
👳🏻‍♂;4;6;6;6;4
👳🏼‍♂️;5;7;7;7;5
👳🏼‍♂;4;6;6;6;4
👳🏽‍♂️;5;7;7;7;5
👳🏽‍♂;4;6;6;6;4
👳🏾‍♂️;5;7;7;7;5
👳🏾‍♂;4;6;6;6;4
👳🏿‍♂️;5;7;7;7;5
👳🏿‍♂;4;6;6;6;4
👳‍♀️;4;5;5;5;4
👳🏻‍♀️;5;7;7;7;5
👳🏼‍♀️;5;7;7;7;5
👳🏽‍♀️;5;7;7;7;5
👳🏾‍♀️;5;7;7;7;5
👳🏿‍♀️;5;7;7;7;5
🧕;1;2;2;2;1
🧕🏻;2;4;4;4;2
🧕🏼;2;4;4;4;2
🧕🏽;2;4;4;4;2
🧕🏾;2;4;4;4;2
🧕🏿;2;4;4;4;2
🤵;1;2;2;2;1
🤵🏻;2;4;4;4;2
🤵🏼;2;4;4;4;2
🤵🏽;2;4;4;4;2
🤵🏾;2;4;4;4;2
🤵🏿;2;4;4;4;2
🤰;1;2;2;2;1
🤰🏻;2;4;4;4;2
🤰🏼;2;4;4;4;2
🤰🏽;2;4;4;4;2
🤰🏾;2;4;4;4;2
🤰🏿;2;4;4;4;2
🤱;1;2;2;2;1
🤱🏻;2;4;4;4;2
🤱🏼;2;4;4;4;2
🤱🏽;2;4;4;4;2
🤱🏾;2;4;4;4;2
🤱🏿;2;4;4;4;2
🤶;1;2;2;2;1
🤶🏻;2;4;4;4;2
🤶🏼;2;4;4;4;2
🤶🏽;2;4;4;4;2
🤶🏾;2;4;4;4;2
🤶🏿;2;4;4;4;2
🦸;1;2;2;2;1
🦸🏻;2;4;4;4;2
🦸🏼;2;4;4;4;2
🦸🏽;2;4;4;4;2
🦸🏾;2;4;4;4;2
🦸🏿;2;4;4;4;2
🦸‍♂️;4;5;5;5;4
🦸‍♂;3;4;4;4;3
🦸🏻‍♂️;5;7;7;7;5
🦸🏻‍♂;4;6;6;6;4
🦸🏼‍♂️;5;7;7;7;5
🦸🏼‍♂;4;6;6;6;4
🦸🏽‍♂️;5;7;7;7;5
🦸🏽‍♂;4;6;6;6;4
🦸🏾‍♂️;5;7;7;7;5
🦸🏾‍♂;4;6;6;6;4
🦸🏿‍♂️;5;7;7;7;5
🦸🏿‍♂;4;6;6;6;4
🦸‍♀️;4;5;5;5;4
🦸‍♀;3;4;4;4;3
🦸🏻‍♀️;5;7;7;7;5
🦸🏻‍♀;4;6;6;6;4
🦸🏼‍♀️;5;7;7;7;5
🦸🏼‍♀;4;6;6;6;4
🦸🏽‍♀️;5;7;7;7;5
🦸🏽‍♀;4;6;6;6;4
🦸🏾‍♀️;5;7;7;7;5
🦸🏾‍♀;4;6;6;6;4
🦸🏿‍♀️;5;7;7;7;5
🦸🏿‍♀;4;6;6;6;4
🦹;1;2;2;2;1
🦹🏻;2;4;4;4;2
🦹🏼;2;4;4;4;2
🦹🏽;2;4;4;4;2
🦹🏾;2;4;4;4;2
